YrSt_ID,population,robbery,Unemp_Yr_Avg
1993 - SD,715000,107,3.4
1993 - TN,5099000,11224,5.8
1993 - TX,18031000,40469,7.2
1993 - UT,1860000,1090,4.1
1993 - VA,6491000,9216,5.2
1993 - VT,576000,52,5.2
1993 - WA,5255000,7204,7.3
1993 - WI,5038000,5714,4.8
1993 - WV,1820000,782,10.6
1993 - WY,470000,81,5.4
1994 - AK,606000,886,7.6
1994 - AL,4219000,7223,6.2
1994 - AR,2453000,3158,5.4
1994 - AZ,4075000,6601,6.2
1994 - CA,31431000,112160,8.6
1994 - CO,3656000,3910,4.3
1994 - CT,3275000,6150,5.6
1994 - DC,570000,6311,8.0
1994 - DE,706000,1141,4.8
1994 - FL,13953000,45871,6.5
1994 - GA,7055000,15703,5.2
1994 - HI,1179000,1221,5.5
1994 - IA,2829000,1327,3.5
1994 - ID,1133000,209,5.4
1994 - IL,11752000,43788,5.8
1994 - IN,5752000,7490,4.9
1994 - KS,2554000,2940,4.9
1994 - KY,3827000,3595,5.4
1994 - LA,4315000,11530,7.9
1994 - MA,6041000,10160,6.1
1994 - MD,5006000,20147,5.3
1994 - ME,1240000,278,7.0
1994 - MI,9496000,21733,6.0
1994 - MN,4567000,5370,4.1
1994 - MO,5278000,12178,5.1
1994 - MT,856000,280,5.3
1994 - NC,7070000,12811,4.4
1994 - ND,638000,71,3.7
1994 - NE,1623000,1223,2.7
1994 - NH,1137000,308,4.7
1994 - NJ,7904000,22762,6.8
1994 - NM,1654000,2329,6.5
1994 - NV,1457000,5134,6.2
1994 - NY,18169000,86617,7.0
1994 - OH,11102000,20821,5.6
1994 - OK,3258000,4174,5.6
1994 - OR,3086000,4264,5.4
1994 - PA,12052000,22497,6.3
1994 - RI,997000,870,6.9
1994 - SC,3664000,6817,6.2
1994 - SD,721000,135,3.3
1994 - TN,5175000,10735,4.9
1994 - TX,18378000,37643,6.5
1994 - UT,1908000,1213,3.8
1994 - VA,6552000,8704,4.9
1994 - VT,580000,71,4.6
1994 - WA,5343000,7464,6.6
1994 - WI,5082000,5739,4.5
1994 - WV,1822000,772,8.8
1994 - WY,476000,79,5.0
1995 - AK,604000,937,7.3
1995 - AL,4253000,7900,6.0
1995 - AR,2484000,3122,4.8
1995 - AZ,4218000,7329,5.4
1995 - CA,31589000,104611,7.9
1995 - CO,3747000,3604,4.0
1995 - CT,3275000,5345,5.5
1995 - DC,554000,6864,8.8
1995 - DE,717000,1425,4.3
1995 - FL,14166000,42485,5.5
1995 - GA,7201000,14777,4.8
1995 - HI,1187000,1553,5.9
1995 - IA,2842000,1507,3.5
1995 - ID,1163000,279,5.4
1995 - IL,11830000,39139,5.2
1995 - IN,5803000,7844,4.6
1995 - KS,2565000,2775,4.4
